"","gene_id","sample_name","gene_depth","copy_number","sample_counts","sample_freq","base_copy_number","gene_mean"
"1","gene_id_1","sample1",6,-0.229912705146936,32,0.97,0.444305,-0.581331310299222
"2","gene_id_1","sample2",7,0.35951673516541,32,0.97,0.801063887728459,-0.581331310299222
"3","gene_id_1","sample3",7,-1.96419196133721,32,0.97,0.078432,-0.581331310299222
"4","gene_id_1","sample4",10,0.536949940407148,32,0.97,0.956589073627845,-0.581331310299222
"5","gene_id_1","sample5",13,-0.840519764625211,32,0.97,0.241267,-0.581331310299222
"6","gene_id_1","sample6",7,0.273192348949761,32,0.97,0.734813200280112,-0.581331310299222
"7","gene_id_1","sample7",5,-1.87531446657184,32,0.97,0.085722,-0.581331310299222
"8","gene_id_1","sample8",5,0.696926618005589,32,0.97,1.12254149630542,-0.581331310299222
"9","gene_id_1","sample9",15,0.45255811213978,32,0.97,0.879173341067285,-0.581331310299222
"10","gene_id_1","sample10",6,0.0186876931117061,32,0.97,0.569701,-0.581331310299222
"11","gene_id_1","sample11",6,-1.34785742411217,32,0.97,0.145266,-0.581331310299222
"12","gene_id_1","sample12",9,0.843068455091345,32,0.97,1.299185,-0.581331310299222
"13","gene_id_1","sample13",6,-1.0533526178245,32,0.97,0.195014,-0.581331310299222
"14","gene_id_1","sample14",7,-0.781387159091975,32,0.97,0.255964,-0.581331310299222
"15","gene_id_1","sample15",6,0.593961216199244,32,0.97,1.01271,-0.581331310299222
"16","gene_id_1","sample16",23,0.484719083199096,32,0.97,0.907908,-0.581331310299222
"17","gene_id_1","sample17",7,-0.30881177050568,32,0.97,0.410597,-0.581331310299222
"18","gene_id_1","sample18",7,1.07101930004397,32,0.97,1.631807,-0.581331310299222
"19","gene_id_1","sample19",8,-1.94100310094102,32,0.97,0.080272,-0.581331310299222
"20","gene_id_1","sample20",5,0.833715943484291,32,0.97,1.287091,-0.581331310299222
"21","gene_id_1","sample21",7,0.980670856103923,32,0.97,1.49083974105622,-0.581331310299222
"22","gene_id_1","sample22",6,0.574948369466852,32,0.97,0.993637386861314,-0.581331310299222
"23","gene_id_1","sample23",5,0.428445829769685,32,0.97,0.858228,-0.581331310299222
"24","gene_id_1","sample24",7,0.922656751050403,32,0.97,1.406811,-0.581331310299222
"25","gene_id_1","sample25",6,1.15371382706415,32,0.97,1.772485,-0.581331310299222
